행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수,인구밀도,노인비율,장애인비율,노인시설수,장애인시설수,시설당_노인수,시설당_장애인수,노인복지점수,장애인복지점수,최종복지점수
성수2가1동,1.17,15395.0776,541.9198,3974.3468,8545.868699999999,2332.9423,685.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,13158.185982905985,15.15381968584556,4.449474161793118,8.0,0.0,291.6177875,,25.92888669644992,23.52533012142861,27.91010861452253
성수2가3동,1.03,26046.9778,1218.418,7932.085499999999,13856.3714,3040.1029,384.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0,25288.327961165047,11.67161473911956,1.4742593284661225,11.0,0.0,276.3729909090909,,32.978521007052535,19.535066014517177,33.12620193979814
송정동,0.75,9753.9093,325.8352,3463.2554,4562.5742,1402.2445,474.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,13005.212399999999,14.376230666815818,4.859589990241144,7.0,0.0,200.32064285714287,,19.209272776542562,21.0895023638734,21.496559881087286
용답동,2.31,15307.0781,610.0350000000001,5268.2996,7294.350399999999,2134.3931,606.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6626.440735930736,13.943830991494059,3.9589528193496317,6.0,0.0,355.7321833333333,,19.352945250966698,17.19151293099551,20.72099161273634
왕십리도선동,0.72,27805.1196,893.9565,7811.566200000001,15031.7313,4067.8656,979.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,15.0,38618.22166666667,14.629915851899447,3.520934324627037,15.0,0.0,271.19104,,50.79399297764249,41.5581289384465,53.726647010861434
금호2.3가동,0.64,19223.962,766.4219,3738.9546,11289.5691,3429.0164,895.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,15.0,30037.440625,17.837199220431252,4.655647987652077,15.0,0.0,228.60109333333332,,45.9028781949949,37.577491457317706,48.548221052813425
옥수동,1.94,22805.3719,963.762,3829.4379,14095.9668,3916.2052,694.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,16.0,11755.346340206184,17.172292638648003,3.0431426553495498,16.0,0.0,244.762825,,37.25699108537278,19.618270985477874,36.870667164513755
화양동,1.16,40300.9482,3683.6157,24031.4903,10164.5286,2421.3136,529.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,34742.19672413793,6.008080971156902,1.3126242027228532,5.0,0.0,484.26272,,27.654884672613736,27.201893172946328,30.26242609076676
군자동,0.74,22656.6466,1641.893,9998.8474,8568.9027,2447.0035,770.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,30617.09,10.800378110677684,3.3985611974898347,8.0,0.0,305.8754375,,31.41847330619496,33.14390719082218,34.912313791635405
중곡1동,0.62,14045.0034,433.4905,4589.7689,7092.4833,1929.2607,651.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,22653.23129032258,13.73627791361019,4.635100337533561,5.0,0.0,385.85214,,27.28399395958589,29.22885813357145,30.40784083946945
중곡2동,0.55,19320.5702,935.7931,5546.191,9754.7915,3083.7946,870.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,35128.30945454545,15.96119870209628,4.502972691768694,3.0,0.0,1027.9315333333334,,44.44184568814617,39.95875346616225,47.826318724515296
중곡3동,0.6,12110.057,480.1024,3209.9708,6339.1928,2080.791,723.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,20183.428333333337,17.182338613269945,5.970244400996625,3.0,0.0,693.5970000000001,,31.090453430055966,31.860961134094662,34.33027328968013
중곡4동,2.32,22928.3725,969.6649,5242.1518,12055.4893,4661.0665,1279.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,9882.919181034484,20.328815313864947,5.578241543310586,4.0,0.0,1165.266625,,44.652451858497386,33.29137248349005,46.46913815045241
