행정동,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
인헌동,0,0,0,0,0,0,0,0,1,6,7
낙성대동,0,0,0,0,0,0,0,0,0,3,3
청림동,0,0,0,0,0,0,1,0,0,5,6
행운동,0,0,0,0,4,1,0,2,0,7,14
대학동,0,0,0,0,0,0,0,0,0,1,1
서림동,0,0,0,0,0,0,0,0,1,0,1
서원동,0,0,0,0,0,0,0,0,2,0,2
신원동,0,0,0,0,0,0,0,0,2,1,3
서교동,0,0,0,0,0,0,0,0,2,4,6
신사동,3,0,0,0,1,1,2,1,3,27,38
신림동,26,0,0,0,2,1,3,0,1,59,92
난향동,0,0,0,0,0,0,0,0,0,0,0
조원동,0,0,0,0,0,0,0,0,0,0,0
미성동,0,0,0,0,0,0,0,0,0,0,0
난곡동,0,0,0,0,0,0,0,0,2,0,2
삼성동,1,0,0,0,0,0,1,1,2,0,5
서초1동,0,0,0,0,0,0,2,0,2,5,9
서초2동,0,0,0,0,0,0,0,0,0,7,7
서초3동,0,0,0,0,0,0,1,0,2,7,10
서초4동,0,0,0,0,0,0,0,0,0,10,10
잠원동,0,0,0,0,0,0,0,0,1,14,15
반포본동,0,0,0,0,0,0,0,0,0,0,0
반포1동,0,0,0,0,0,0,0,0,0,7,7
반포2동,0,0,0,0,0,0,1,0,0,5,6
반포3동,0,0,0,0,0,0,0,0,0,7,7
반포4동,0,0,0,0,0,0,0,0,0,7,7
방배본동,0,0,0,0,0,0,0,0,0,3,3
방배1동,0,0,0,0,0,0,1,0,1,5,7
방배2동,0,0,0,0,0,0,1,0,0,6,7
방배3동,0,0,0,0,2,0,2,0,1,9,14
방배4동,1,0,0,0,0,0,1,0,1,5,8
양재1동,0,0,0,0,0,0,1,0,0,26,27
양재2동,0,0,0,0,0,0,1,0,1,5,7
내곡동,0,0,0,0,3,1,2,0,1,16,23
어반동,0,0,0,0,0,0,0,0,0,0,0
신사동,3,0,0,0,1,1,2,1,3,27,38
논현1동,0,0,0,0,0,0,1,1,0,4,6
논현2동,0,0,0,0,0,0,2,0,1,6,9
압구정동,0,0,0,0,0,0,0,0,0,6,6
청담동,0,0,0,0,0,0,0,0,2,10,12
삼성1동,0,0,0,0,0,0,1,0,0,4,5
삼성2동,0,0,0,0,0,0,0,0,0,13,13
대치1동,0,0,0,0,0,0,0,0,2,9,11
대치2동,0,0,0,0,0,0,1,0,2,9,12
대치4동,0,0,0,0,0,0,1,0,0,3,4
역삼1동,0,0,0,0,0,0,2,0,0,8,10
역삼2동,0,0,0,0,0,0,2,0,1,15,18
도곡1동,0,0,0,0,0,0,1,0,1,9,11
도곡2동,0,0,0,0,0,0,1,0,0,8,9
개포1동,0,0,0,0,0,0,0,0,0,5,5
개포2동,0,0,0,0,0,0,0,0,0,9,9
개포3동,0,0,0,0,0,0,0,0,2,7,9
개포4동,0,0,0,0,0,0,2,0,1,5,8
일원본동,0,0,0,0,0,0,0,0,0,11,11
일원1동,0,0,0,0,0,0,0,0,0,4,4
일원2동,0,0,0,0,0,0,0,0,0,0,0
수서동,0,0,0,0,2,3,1,0,2,8,16
세곡동,1,0,0,0,0,1,3,0,3,25,33
풍납1동,0,0,0,0,0,0,0,0,1,6,7
풍납2동,0,0,0,0,0,0,0,0,1,11,12
거여1동,0,0,0,0,0,0,0,0,1,6,7
거여2동,0,0,0,0,0,0,0,0,0,10,10
마천1동,0,0,0,0,0,0,0,0,1,7,8
마천2동,0,0,0,0,0,0,0,0,3,9,12
방이1동,0,0,0,0,0,0,0,0,1,5,6
방이2동,0,0,0,0,0,0,0,0,0,2,2
오륜동,0,0,0,0,0,0,0,0,0,3,3
오금동,2,0,0,0,5,0,0,0,1,15,23
송파1동,0,0,0,0,0,0,3,1,0,3,7
송파2동,0,0,0,0,0,0,0,0,1,7,8
석촌동,3,0,0,0,1,1,0,0,0,3,8
삼전동,2,0,0,0,1,0,1,0,2,2,8
가락본동,0,0,0,0,0,0,0,0,0,11,11
가락1동,0,0,0,0,0,0,0,0,0,7,7
가락2동,0,0,0,0,0,0,0,0,0,10,10
문정1동,1,0,0,0,1,1,0,0,0,6,9
문정2동,1,0,0,0,0,1,0,0,1,4,7
장지동,1,1,0,0,1,0,2,0,1,21,27
위례동,0,0,0,0,0,0,0,0,0,11,11
잠실본동,0,0,0,0,0,0,0,0,2,5,7
잠실2동,0,0,0,0,0,0,0,0,0,3,3
잠실3동,0,0,0,0,0,0,0,0,0,3,3
잠실4동,0,0,0,0,0,0,0,0,0,4,4
잠실6동,0,0,0,0,0,0,0,0,2,4,6
잠실7동,0,0,0,0,0,0,0,0,0,2,2
강일동,4,0,0,0,4,0,1,0,0,17,26
상일1동,0,0,0,0,0,0,0,0,0,12,12
상일2동,0,0,0,0,0,0,0,0,0,6,6
명일1동,2,0,0,0,3,0,0,0,1,6,12
명일2동,1,0,0,0,0,0,1,0,0,6,8
고덕1동,0,0,0,0,0,0,1,0,0,6,7
고덕2동,0,0,0,0,0,0,0,0,1,4,5
암사1동,3,0,0,0,0,0,0,0,0,10,13
암사2동,1,0,0,0,0,0,0,0,0,3,4
암사3동,0,0,0,0,0,6,0,0,0,7,13
천호1동,0,0,0,0,0,0,0,0,1,6,7
천호2동,0,0,0,0,0,0,1,1,0,6,8
천호3동,0,0,0,0,0,0,0,0,1,11,12
성내1동,0,0,0,0,0,0,0,0,0,5,5
성내2동,0,0,0,0,0,0,0,0,1,4,5
성내3동,0,0,0,0,0,0,0,0,0,5,5
길동,5,0,0,0,1,1,0,0,4,10,21
둔촌1동,0,0,0,0,0,0,1,0,0,0,1
둔촌2동,0,0,0,0,0,0,0,0,0,14,14
